,Artists,Titles,Lyrics(BOW)
153,pink floyd,money,"['money', 'get', 'away', 'you', 'get', 'a', 'good', 'job', 'with', 'more', 'pay', 'and', 'you', ""'re"", 'okay', 'money', 'It', ""'s"", 'a', 'ga', 'grab', 'that', 'cash', 'with', 'both', 'hand', 'and', 'make', 'a', 'stash', 'new', 'car', 'caviar', 'four', 'star', 'daydream', 'think', 'I', ""'ll"", 'buy', 'me', 'a', 'footbal', 'team', 'money', 'well', 'get', 'back', 'I', ""'m"", 'all', 'right', 'jack', 'keep', 'your', 'hand', 'off', 'of', 'my', 'stack', 'm-o-n-e-i', 'It', ""'s"", 'a', 'hit', 'Do', ""n't"", 'give', 'me', 'that', 'do', 'goodi', 'good', 'bullshit', 'I', ""'m"", 'in', 'the', 'high', 'fidel', 'first', 'class', 'travel', 'set', 'and', 'think', 'I', 'need', 'a', 'lear', 'jet', 'money', 'It', ""'s"", 'a', 'crime', 'share', 'it', 'fairli', 'but', 'do', ""n't"", 'take', 'a', 'slice', 'of', 'my', 'pie', 'm-o-n-e-i', 'So', 'they', 'say', 'Is', 'the', 'root', 'of', 'all', 'evil', 'today', 'but', 'if', 'you', 'ask', 'for', 'a', 'rais', 'it', ""'s"", 'no', 'surpris', 'that', 'they', ""'re"", 'give', 'none', 'away', 'away', 'away', 'way', 'away', 'away', 'away', 'away', 'woo', '...', 'I', 'wa', 'in', 'the', 'right', 'ye', 'absolut', 'I', 'certainli', 'wa', 'in', 'the', 'right', 'that', 'geezer', 'wa', 'cruis', 'for', 'a', 'bruis', 'woo-woo', '...', 'yeah', 'I', 'do', ""n't"", 'know', 'I', 'wa', 'realli', 'drunk', 'at', 'the', 'time', 'I', 'wa', 'just', 'tell', 'him', 'he', 'could', ""n't"", 'get', 'into', 'number', '2', 'He', 'wa', 'ask', 'whi', 'he', 'wa', ""n't"", 'come', 'up', 'on', 'freeli', '?', 'after', 'I', 'wa', 'yell', 'and', 'scream', 'and', 'tell', 'him', 'whi', 'he', 'wa', ""n't"", 'come', 'up', 'on', 'freeli']"
154,pink floyd,learning to fly,"['into', 'the', 'distanc', 'a', 'ribbon', 'of', 'black', 'stretch', 'to', 'the', 'point', 'of', 'no', 'turn', 'back', 'A', 'flight', 'of', 'fanci', 'on', 'a', 'wind', 'swept', 'field', 'stand', 'alon', 'my', 'sens', 'reel', 'A', 'fatal', 'attract', 'is', 'hold', 'me', 'fast', 'how', 'can', 'I', 'escap', 'thi', 'irresist', 'grasp', '?', 'Ca', ""n't"", 'keep', 'my', 'eye', 'from', 'the', 'circl', 'sky', 'tongue-ti', 'and', 'twist', 'just', 'an', 'earth-bound', 'misfit', 'I', 'ice', 'is', 'form', 'on', 'the', 'tip', 'of', 'my', 'wing', 'unheed', 'warn', 'I', 'thought', 'I', 'thought', 'of', 'everyth', 'No', 'navig', 'to', 'find', 'my', 'way', 'home', 'unladen', 'empti', 'and', 'turn', 'to', 'stone', 'A', 'soul', 'in', 'tension', 'that', ""'s"", 'learn', 'to', 'fli', 'condit', 'ground', 'but', 'determin', 'to', 'tri', 'Ca', ""n't"", 'keep', 'my', 'eye', 'from', 'the', 'circl', 'sky', 'tongue-ti', 'and', 'twist', 'just', 'an', 'earth-bound', 'misfit', 'I', 'abov', 'the', 'planet', 'on', 'a', 'wing', 'and', 'a', 'prayer', 'My', 'grubbi', 'halo', 'a', 'vapor', 'trail', 'in', 'the', 'empti', 'air', 'across', 'the', 'cloud', 'I', 'see', 'my', 'shadow', 'fli', 'out', 'of', 'the', 'corner', 'of', 'my', 'water', 'eye', 'A', 'dream', 'unthreaten', 'by', 'the', 'morn', 'light', 'could', 'blow', 'thi', 'soul', 'right', 'through', 'the', 'roof', 'of', 'the', 'night', 'there', ""'s"", 'no', 'sensat', 'to', 'compar', 'with', 'thi', 'suspend', 'anim', 'a', 'state', 'of', 'bliss', 'Ca', ""n't"", 'keep', 'my', 'mind', 'from', 'the', 'circl', 'sky', 'tongue-ti', 'and', 'twist', 'just', 'an', 'earth-bound', 'misfit', 'I']"
155,pink floyd,high hopes,"['beyond', 'the', 'horizon', 'of', 'the', 'place', 'we', 'live', 'when', 'we', 'were', 'young', 'In', 'a', 'world', 'of', 'magnet', 'and', 'miracl', 'our', 'thought', 'stray', 'constantli', 'and', 'without', 'boundari', 'the', 'ring', 'of', 'the', 'divis', 'bell', 'had', 'begun', 'along', 'the', 'long', 'road', 'and', 'on', 'down', 'the', 'causeway', 'Do', 'they', 'still', 'meet', 'there', 'by', 'the', 'cut', 'there', 'wa', 'a', 'rag', 'band', 'that', 'follow', 'in', 'our', 'footstep', 'run', 'befor', 'time', 'took', 'our', 'dream', 'away', 'leav', 'the', 'myriad', 'small', 'creatur', 'tri', 'to', 'tie', 'us', 'to', 'the', 'ground', 'To', 'a', 'life', 'consum', 'by', 'slow', 'decay', 'the', 'grass', 'wa', 'greener', 'the', 'light', 'wa', 'brighter', 'with', 'friend', 'surround', 'the', 'night', 'of', 'wonder', 'look', 'beyond', 'the', 'ember', 'of', 'bridg', 'glow', 'behind', 'us', 'To', 'a', 'glimps', 'of', 'how', 'green', 'it', 'wa', 'on', 'the', 'other', 'side', 'step', 'taken', 'forward', 'but', 'sleepwalk', 'back', 'again', 'drag', 'by', 'the', 'forc', 'of', 'some', 'inner', 'tide', 'At', 'a', 'higher', 'altitud', 'with', 'flag', 'unfurl', 'We', 'reach', 'the', 'dizzi', 'height', 'of', 'that', 'dream', 'of', 'world', 'encumb', 'forev', 'by', 'desir', 'and', 'ambit', 'there', ""'s"", 'a', 'hunger', 'still', 'unsatisfi', 'our', 'weari', 'eye', 'still', 'stray', 'to', 'the', 'horizon', 'though', 'down', 'thi', 'road', 'we', ""'ve"", 'been', 'so', 'mani', 'time', 'the', 'grass', 'wa', 'greener', 'the', 'light', 'wa', 'brighter', 'the', 'tast', 'wa', 'sweeter', 'the', 'night', 'of', 'wonder', 'with', 'friend', 'surround', 'the', 'dawn', 'mist', 'glow', 'the', 'water', 'flow', 'the', 'endless', 'river', 'forev', 'and', 'ever']"
156,pink floyd,lost for words,"['I', 'wa', 'spend', 'my', 'time', 'in', 'the', 'doldrum', 'I', 'wa', 'caught', 'in', 'a', 'cauldron', 'of', 'hate', 'I', 'felt', 'persecut', 'and', 'paralys', 'I', 'thought', 'that', 'everyth', 'els', 'would', 'just', 'wait', 'while', 'you', 'are', 'wast', 'your', 'time', 'on', 'your', 'enemi', 'engulf', 'in', 'a', 'fever', 'of', 'spite', 'beyond', 'your', 'tunnel', 'vision', 'realiti', 'fade', 'like', 'shadow', 'into', 'the', 'night', 'To', 'martyr', 'yourself', 'to', 'caution', 'Is', 'not', 'gon', 'na', 'help', 'at', 'all', 'becaus', 'there', ""'ll"", 'be', 'no', 'safeti', 'in', 'number', 'when', 'the', 'right', 'one', 'walk', 'out', 'of', 'the', 'door', 'can', 'you', 'see', 'your', 'day', 'blight', 'by', 'dark', '?', 'Is', 'it', 'true', 'you', 'beat', 'your', 'fist', 'on', 'the', 'floor', '?', 'stuck', 'in', 'a', 'world', 'of', 'isol', 'while', 'the', 'ivi', 'grow', 'over', 'the', 'door', 'So', 'I', 'open', 'my', 'door', 'to', 'my', 'enemi', 'and', 'I', 'ask', 'could', 'we', 'wipe', 'the', 'slate', 'clean', 'but', 'they', 'tell', 'me', 'to', 'pleas', 'go', 'fuck', 'myself', 'you', 'know', 'you', 'just', 'ca', ""n't"", 'win']"
157,lynyrd skynyrd,simple man,"['mama', 'told', 'me', 'when', 'I', 'wa', 'young', '``', 'come', 'sit', 'besid', 'me', 'my', 'onli', 'son', 'and', 'listen', 'close', 'to', 'what', 'I', 'say', '.', 'and', 'if', 'you', 'do', 'thi', 'it', ""'ll"", 'help', 'you', 'some', 'sunni', 'day', 'oh', 'yeah', '.', '``', 'Oh', 'take', 'your', 'time', 'do', ""n't"", 'live', 'too', 'fast', '.', 'troubl', 'will', 'come', 'and', 'they', 'will', 'pass', '.', 'Go', 'find', 'a', 'woman', 'and', 'you', ""'ll"", 'find', 'love', '.', 'and', 'do', ""n't"", 'forget', 'son', 'there', 'is', 'someon', 'up', 'abov', '.', '``', 'and', 'be', 'a', 'simpl', 'kind', 'of', 'man', '.', 'Oh', 'be', 'somethin', ""'"", 'you', 'love', 'and', 'understand', '.', 'babi', 'be', 'a', 'simpl', 'kind', 'of', 'man', '.', 'Oh', 'wo', ""n't"", 'you', 'do', 'thi', 'for', 'me', 'son', 'if', 'you', 'can', '?', '``', 'forget', 'your', 'lust', 'for', 'the', 'rich', 'man', ""'s"", 'gold', '.', 'all', 'that', 'you', 'need', 'is', 'in', 'your', 'soul', '.', 'and', 'you', 'can', 'do', 'thi', 'if', 'you', 'tri', '.', 'all', 'that', 'I', 'want', 'for', 'you', 'my', 'son', 'is', 'to', 'be', 'satisfi', '.', '``', 'and', 'be', 'a', 'simpl', 'kind', 'of', 'man', '.', 'Oh', 'be', 'somethin', ""'"", 'you', 'love', 'and', 'understand', '.', 'babi', 'be', 'a', 'simpl', 'kind', 'of', 'man', '.', 'Oh', 'wo', ""n't"", 'you', 'do', 'thi', 'for', 'me', 'son', 'if', 'you', 'can', '?', ""''"", '(', 'Oh', 'ye', 'I', 'will', '.', ')', '``', 'boy', 'do', ""n't"", 'you', 'worri', 'you', ""'ll"", 'find', 'yourself', '.', 'follow', 'your', 'heart', 'and', 'noth', 'els', '.', 'and', 'you', 'can', 'do', 'thi', 'oh', 'babe', 'if', 'you', 'tri', '.', 'all', 'that', 'I', 'want', 'for', 'you', 'my', 'son', 'is', 'to', 'be', 'satisfi', '.', '``', 'and', 'be', 'a', 'simpl', 'kind', 'of', 'man', '.', 'Oh', 'be', 'somethin', ""'"", 'you', 'love', 'and', 'understand', '.', 'babi', 'be', 'a', 'simpl', 'kind', 'of', 'man', '.', 'Oh', 'wo', ""n't"", 'you', 'do', 'thi', 'for', 'me', 'son', 'if', 'you', 'can', '?', '``', 'babi', 'be', 'a', 'simpl', 'be', 'a', 'simpl', 'man', '.', 'Oh', 'be', 'somethin', ""'"", 'you', 'love', 'and', 'understand', '.', 'babi', 'be', 'a', 'simpl', 'kind', 'of', 'man', '.', ""''""]"
158,lynyrd skynyrd,free bird,"['If', 'I', 'leav', 'here', 'tomorrow', 'would', 'you', 'still', 'rememb', 'me', '?', 'for', 'I', 'must', 'be', 'travel', 'on', 'now', ""'caus"", 'there', ""'s"", 'too', 'mani', 'place', 'I', ""'ve"", 'got', 'to', 'see', 'but', 'if', 'I', 'stay', 'here', 'with', 'you', 'girl', 'thing', 'just', 'could', ""n't"", 'be', 'the', 'same', ""'caus"", 'I', ""'m"", 'as', 'free', 'as', 'a', 'bird', 'now', 'and', 'thi', 'bird', 'you', ""'ll"", 'can', 'not', 'chang', 'Oh', 'oh', 'oh', 'oh', 'oh', 'and', 'the', 'bird', 'you', 'can', 'not', 'chang', 'and', 'thi', 'bird', 'you', 'can', 'not', 'chang', 'lord', 'know', 'I', 'ca', ""n't"", 'chang', 'bye', 'bye', 'babi', 'it', ""'s"", 'been', 'a', 'sweet', 'love', 'yeah', 'yeah', 'though', 'thi', 'feel', 'I', 'ca', ""n't"", 'chang', 'but', 'pleas', 'do', ""n't"", 'take', 'it', 'so', 'badli', ""'caus"", 'the', 'lord', 'know', 'I', ""'m"", 'to', 'blame', 'but', 'if', 'I', 'stay', 'here', 'with', 'you', 'girl', 'thing', 'just', 'could', ""n't"", 'be', 'the', 'same', ""'caus"", 'I', ""'m"", 'as', 'free', 'as', 'a', 'bird', 'now', 'and', 'thi', 'bird', 'you', ""'ll"", 'can', 'not', 'chang', 'Oh', 'oh', 'oh', 'oh', 'oh', 'and', 'thi', 'bird', 'you', 'can', 'not', 'chang', 'and', 'thi', 'bird', 'you', 'can', 'not', 'chang', 'lord', 'know', 'I', 'ca', ""n't"", 'chang', 'lord', 'help', 'me', 'I', 'ca', ""n't"", 'chang', 'lord', 'I', 'ca', ""n't"", 'chang', 'Wo', ""n't"", 'you', 'fli', 'high', 'free', 'bird', 'yeah', '?']"
159,lynyrd skynyrd,sweet home alabama,"['1', '2', '3', 'turn', 'it', 'up', 'big', 'wheel', 'keep', 'on', 'turn', 'carri', 'me', 'home', 'to', 'see', 'my', 'kin', 'sing', 'song', 'about', 'the', 'southland', 'I', 'miss', 'alabami', 'onc', 'again', 'and', 'I', 'think', 'it', 'a', 'sin', 'ye', '(', 'ooh', '...', 'ooh', '...', 'ooh', '...', ')', 'well', 'I', 'heard', 'mr.', 'young', 'sing', 'about', 'her', '(', 'ooh', '...', 'ooh', '...', 'ooh', '...', ')', 'well', 'I', 'heard', 'ole', 'neil', 'put', 'her', 'down', '(', 'ooh', '...', 'ooh', '...', 'ooh', '...', ')', 'well', 'I', 'hope', 'neil', 'young', 'will', 'rememb', 'A', 'southern', 'man', 'do', ""n't"", 'need', 'him', 'around', 'anyhow', 'sweet', 'home', 'alabama', 'where', 'the', 'sky', 'are', 'so', 'blue', 'sweet', 'home', 'alabama', 'lord', 'I', ""'m"", 'come', 'home', 'to', 'you', 'In', 'birmingham', 'they', 'love', 'the', 'governor', 'boo-boo-boo', 'now', 'we', 'all', 'did', 'what', 'we', 'could', 'do', 'now', 'waterg', 'doe', 'not', 'bother', 'me', 'doe', 'your', 'conscienc', 'bother', 'you', '?', 'tell', 'the', 'truth', 'sweet', 'home', 'alabama', 'where', 'the', 'sky', 'are', 'so', 'blue', 'sweet', 'home', 'alabama', 'Oh', 'yeah', 'lord', 'I', ""'m"", 'come', 'home', 'to', 'you', 'here', 'I', 'come', 'alabama', '(', 'a-l-a-b-a-m-a', ')', '(', 'alabama', 'ah-ah-ah', ')', '(', 'alabama', 'ah-ah-ah', ')', '(', 'alabama', 'ah-ah-ah', ')', '(', 'alabama', ')', '(', 'ooh', '.', 'ooh', '...', 'ooh', '...', ')', 'now', 'muscl', 'shoal', 'ha', 'got', 'the', 'swamper', 'and', 'they', ""'ve"", '(', 'ooh', '...', 'ooh', '...', 'ooh', '...', ')', 'been', 'known', 'to', 'pick', 'a', 'song', 'or', 'two', '(', 'ye', 'they', 'do', ')', 'lord', '(', 'ooh', '...', 'ooh', '...', 'ooh', '...', ')', 'they', 'get', 'me', 'off', 'so', 'much', 'they', 'pick', 'me', 'up', 'when', 'I', ""'m"", 'feel', 'blue', 'now', 'how', 'about', 'you', '?', 'sweet', 'home', 'alabama', 'where', 'the', 'sky', 'are', 'so', 'blue', 'sweet', 'home', 'alabama', 'lord', 'I', ""'m"", 'come', 'home', 'to', 'you', 'sweet', 'home', 'alabama', 'Oh', 'sweet', 'home', 'babi', 'where', 'the', 'sky', 'are', 'so', 'blue', 'and', 'the', 'governor', ""'s"", 'true', 'sweet', 'home', 'alabama', 'lordi', 'lord', 'I', ""'m"", 'come', 'home', 'to', 'you', 'woo-woo', 'yeah-yeah', 'montgomeri', ""'s"", 'got', 'the', 'answer']"
160,deep purple,smoke on tha water,[]
161,deep purple,lazy,"['you', ""'re"", 'lazi', 'just', 'stay', 'in', 'bed', 'you', ""'re"", 'lazi', 'just', 'stay', 'in', 'bed', 'you', 'do', ""n't"", 'want', 'no', 'money', 'you', 'do', ""n't"", 'want', 'no', 'bread', 'If', 'you', ""'re"", 'drown', 'you', 'do', ""n't"", 'clutch', 'no', 'straw', 'If', 'you', ""'re"", 'drown', 'you', 'do', ""n't"", 'clutch', 'no', 'straw', 'you', 'do', ""n't"", 'want', 'to', 'live', 'you', 'do', ""n't"", 'want', 'to', 'cri', 'no', 'more', 'well', 'my', 'tri', 'ai', ""n't"", 'done', 'no', 'good', 'I', 'said', 'my', 'tri', 'ai', ""n't"", 'done', 'no', 'good', 'you', 'do', ""n't"", 'make', 'no', 'effort', 'no', 'not', 'like', 'you', 'should', 'lazi', 'you', 'just', 'stay', 'in', 'bed', 'lazi', 'you', 'just', 'stay', 'in', 'bed', 'you', 'do', ""n't"", 'want', 'no', 'money', 'you', 'do', ""n't"", 'want', 'no', 'bread']"
162,deep purple,child in time,"['sweet', 'child', 'in', 'time', 'you', ""'ll"", 'see', 'the', 'line', 'the', 'line', 'that', ""'s"", 'drawn', 'between', 'good', 'and', 'bad', 'see', 'the', 'blind', 'man', 'shoot', 'at', 'the', 'world', 'bullet', 'fli', 'ohh', 'take', 'toll', 'If', 'you', ""'ve"", 'been', 'bad', 'Oh', 'lord', 'I', 'bet', 'you', 'have', 'and', 'you', ""'ve"", 'not', 'been', 'hit', 'Oh', 'by', 'fli', 'lead', 'you', ""'d"", 'better', 'close', 'your', 'eye', 'ooohhhh', 'bow', 'your', 'head', 'wait', 'for', 'the', 'ricochet', 'I', 'wan', 'na', 'hear', 'you', 'sing', 'sweet', 'child', 'in', 'time', 'you', ""'ll"", 'see', 'the', 'line', 'the', 'line', 'that', ""'s"", 'drawn', 'between', 'good', 'and', 'bad', 'see', 'the', 'blind', 'man', 'shoot', 'at', 'the', 'world', 'bullet', 'fli', 'ohh', 'take', 'toll', 'If', 'you', ""'ve"", 'been', 'bad', 'Oh', 'lord', 'I', 'bet', 'you', 'have', 'and', 'you', ""'ve"", 'not', 'been', 'hit', 'Oh', 'by', 'fli', 'lead', 'you', ""'d"", 'better', 'close', 'your', 'eye', 'ooohhhh', 'bow', 'your', 'head', 'wait', 'for', 'the', 'ricochet', 'I', 'got', 'ta', 'hear', 'you', 'scream', 'Oh', 'god', 'no', 'they', 'gon', 'na', 'shoot', 'me', '...']"
163,deep purple,perfect strangers,"['can', 'you', 'rememb', 'rememb', 'my', 'name', '?', 'As', 'I', 'flow', 'through', 'your', 'life', 'A', 'thousand', 'ocean', 'I', 'have', 'flown', 'Oh', 'and', 'cold', 'cold', 'spirit', 'of', 'ice', 'Ah', 'ah', 'all', 'my', 'life', 'I', 'am', 'the', 'echo', 'of', 'your', 'past', 'I', 'am', 'return', 'the', 'echo', 'of', 'a', 'point', 'in', 'time', 'and', 'distant', 'face', 'shine', 'A', 'thousand', 'warrior', 'I', 'have', 'known', 'Oh', 'and', 'laugh', 'as', 'the', 'spirit', 'appear', 'all', 'all', 'your', 'life', 'shadow', 'of', 'anoth', 'day', 'If', 'you', 'hear', 'me', 'talk', 'on', 'the', 'wind', 'you', ""'ve"", 'got', 'to', 'understand', 'We', 'must', 'remain', 'perfect', 'stranger', 'I', 'know', 'I', 'must', 'remain', 'insid', 'thi', 'silent', 'well', 'of', 'sorrow', 'A', 'strand', 'of', 'silver', 'hang', 'through', 'the', 'sky', 'touch', 'more', 'than', 'you', 'see', 'the', 'voic', 'of', 'age', 'in', 'your', 'mind', 'Oh', 'is', 'ach', 'with', 'the', 'dead', 'of', 'the', 'night', 'Oh', 'preciou', 'life', 'your', 'tear', 'are', 'lost', 'in', 'fall', 'rain', 'and', 'if', 'you', 'hear', 'me', 'talk', 'on', 'the', 'wind', 'you', ""'ve"", 'got', 'to', 'understand', 'We', 'must', 'remain', 'perfect', 'stranger']"
164,agnes obel,riverside,"['down', 'by', 'the', 'river', 'by', 'the', 'boat', 'where', 'everybodi', 'goe', 'to', 'be', 'alon', 'where', 'you', 'wo', ""n't"", 'see', 'ani', 'rise', 'sun', 'down', 'to', 'the', 'river', 'we', 'will', 'run', 'when', 'by', 'the', 'water', 'we', 'drink', 'to', 'the', 'dreg', 'look', 'at', 'the', 'stone', 'on', 'the', 'riverb', 'I', 'can', 'tell', 'from', 'your', 'eye', 'you', ""'ve"", 'never', 'been', 'by', 'the', 'riversid', 'down', 'by', 'the', 'water', 'the', 'riverb', 'somebodi', 'call', 'you', 'somebodi', 'say', 'swim', 'with', 'the', 'current', 'and', 'float', 'away', 'down', 'by', 'the', 'river', 'everyday', 'Oh', 'my', 'god', 'I', 'see', 'how', 'everyth', 'is', 'torn', 'in', 'the', 'river', 'deep', 'and', 'I', 'do', ""n't"", 'know', 'whi', 'I', 'go', 'the', 'way', 'down', 'by', 'the', 'riversid', 'when', 'that', 'old', 'river', 'run', 'pass', 'your', 'eye', 'To', 'wash', 'off', 'the', 'dirt', 'on', 'the', 'riversid', 'Go', 'to', 'the', 'water', 'so', 'veri', 'near', 'the', 'river', 'will', 'be', 'your', 'eye', 'and', 'ear', 'I', 'walk', 'to', 'the', 'border', 'on', 'my', 'own', 'fall', 'in', 'the', 'water', 'just', 'like', 'a', 'stone', 'chill', 'to', 'the', 'marrow', 'in', 'them', 'bone', 'whi', 'do', 'I', 'go', 'here', 'all', 'alon', 'Oh', 'my', 'god', 'I', 'see', 'how', 'everyth', 'is', 'torn', 'in', 'the', 'river', 'deep', 'and', 'I', 'do', ""n't"", 'know', 'whi', 'I', 'go', 'the', 'way', 'down', 'by', 'the', 'riversid', 'Oh', 'my', 'god', 'I', 'see', 'how', 'everyth', 'is', 'torn', 'in', 'the', 'river', 'deep', 'and', 'I', 'do', ""n't"", 'know', 'whi', 'I', 'go', 'the', 'way', 'down', 'by', 'the', 'riversid', 'Oh', 'oh', 'ahh', 'down', 'by', 'the', 'riversid', 'down', 'by', 'the', 'riversid']"
165,agnes obel,just so,"['black', 'turn', 'beat', 'me', 'bright', 'turn', 'on', 'the', 'light', 'today', 'is', 'gon', 'na', 'be', 'the', 'day', 'you', 'hear', 'somebodi', 'say', 'We', 'need', 'you', 'wide', 'awak', 'tipto', 'over', 'the', 'floor', 'what', 'are', 'you', 'wait', 'for', '?', 'So', 'so', 'and', 'no', 'more', 'that', ""'s"", 'all', 'to', 'be', 'so', 'befor', 'today', 'is', 'gon', 'na', 'be', 'the', 'day', 'you', 'hear', 'somebodi', 'say', 'We', 'need', 'you', 'wide', 'awak', 'you', 'hear', 'the', 'moment', 'kick', 'and', 'play', 'the', 'order', 'of', 'the', 'day', 'Is', 'alreadi', 'in', 'your', 'way', 'the', 'window', 'shade', 'the', 'nurs', 'and', 'maid', 'To', 'let', 'it', 'all', 'just', 'work', 'away', 'from', 'head', 'to', 'toe', 'where', 'shadow', 'grow', 'sinc', 'forev', 'and', 'a', 'day', 'quiet', 'moment', 'home', 'where', 'some', 'do', 'you', 'roam', '?', 'today', 'is', 'gon', 'na', 'be', 'the', 'day', 'you', 'hear', 'somebodi', 'say', 'We', 'need', 'you', 'right', 'away', 'No', 'time', 'for', 'tea', 'or', 'lemonad', 'someon', 'to', 'set', 'the', 'day', 'were', 'onli', 'half', 'awak', 'drink', 'a', 'toast', 'to', 'the', 'sun', 'To', 'the', 'thing', 'that', 'never', 'come', 'To', 'the', 'break', 'of', 'the', 'day', 'that', 'is', 'all', 'that', 'I', 'say']"
166,jorja smith,blue lights,"['I', 'wan', 'na', 'turn', 'those', 'blue', 'light', 'into', 'strobe', 'light', 'not', 'blue', 'flash', 'light', 'mayb', 'fairi', 'light', 'I', 'wan', 'na', 'turn', 'those', 'blue', 'light', 'into', 'strobe', 'light', 'mayb', 'even', 'fairi', 'light', 'not', 'blue', 'flash', 'light', 'one', 'Do', ""n't"", 'you', 'run', 'when', 'you', 'hear', 'the', 'siren', 'come', 'when', 'you', 'hear', 'the', 'siren', 'come', 'you', 'better', 'not', 'run', 'cu', 'the', 'siren', 'not', 'come', 'for', 'you', 'what', 'have', 'you', 'done', '?', 'you', 'went', 'to', 'school', 'that', 'day', 'wa', 'a', 'bit', 'late', 'but', 'it', 'wa', 'a', 'monday', 'kept', 'after', 'class', 'for', 'answer', 'back', 'you', 'apolog', 'ani', 'harm', 'in', 'that', 'what', 'have', 'you', 'done', '?', 'there', ""'s"", 'no', 'need', 'to', 'run', 'If', 'you', ""'ve"", 'done', 'noth', 'wrong', 'blue', 'light', 'should', 'just', 'pass', 'you', 'by', 'two', 'gun', 'crime', 'into', 'your', 'right', 'ear', 'drug', 'and', 'violenc', 'into', 'your', 'left', 'default', 'white', 'headphon', 'flood', 'the', 'auditori', 'subconsci', 'wave', 'you', 'accept', '.', 'you', ""'re"", 'sit', 'on', 'the', '4', 'back', 'home', '``', 'where', 'you', 'at', 'G', '?', 'answer', 'your', 'phone', '!', ""''"", 'paus', 'the', 'poison', 'to', 'answer', 'hi', 'messag', 'your', 'boy', 'sound', 'rush', 'fear', 'for', 'hi', 'adolesc', 'what', 'have', 'you', 'done', '?', 'there', ""'s"", 'no', 'need', 'to', 'run', 'If', 'you', ""'ve"", 'done', 'noth', 'wrong', 'blue', 'light', 'should', 'just', 'pass', 'you', 'by', 'tall', 'black', 'shadow', 'as', 'you', ""'re"", 'get', 'off', 'the', 'bu', 'shadow', 'show', 'no', 'emot', 'so', 'what', ""'s"", 'even', 'the', 'fuss', 'but', 'the', 'face', 'of', 'your', 'boy', 'cast', 'a', 'darker', 'pictur', 'of', 'the', 'red', 'hand', 'act', 'he', ""'s"", 'gon', 'na', 'whisper', ';', '``', 'look', 'blud', 'I', ""'m"", 'sorri', 'cu', 'I', 'know', 'you', 'got', 'my', 'back', 'he', 'wa', 'run', 'I', 'could', ""n't"", 'think', 'i', 'had', 'to', 'get', 'out', 'of', 'that', ""''"", 'not', 'long', 'ago', 'you', 'were', 'mime', 'to', 'the', 'sone', 'now', 'thi', 'realli', 'is', 'part', 'two', 'cu', 'you', ""'re"", 'the', 'sone', 'hand', 'you', 'the', 'tool', 'as', 'you', 'question', 'your', 'friendship', 'how', ""'s"", 'man', 'like', 'you', 'gon', 'na', 'make', 'me', 'a', 'convict', '?', 'level', 'of', 'a', 'felon', 'when', 'I', ""'ve"", 'done', 'noth', 'wrong', 'blood', 'on', 'my', 'hand', 'but', 'I', 'do', ""n't"", 'know', 'where', 'it', ""'s"", 'from', 'Oh', 'you', 'got', 'blood', 'on', 'your', 'hand', 'but', 'you', 'do', ""n't"", 'know', 'where', 'it', ""'s"", 'from', 'you', 'better', 'run', 'when', 'you', 'hear', 'the', 'siren', 'come', 'when', 'you', 'hear', 'the', 'siren', 'come', 'better', 'run', 'when', 'you', 'hear', 'the', 'siren', 'come', 'cu', 'they', 'will', 'be', 'come', 'for', 'you', 'run', 'when', 'you', 'hear', 'the', 'siren', 'come', 'better', 'run', 'when', 'you', 'hear', 'the', 'siren', 'come', 'when', 'you', 'hear', 'the', 'siren', 'come', 'the', 'blue', 'light', 'are', 'come', 'for', 'you', 'what', 'have', 'you', 'done', '?', 'there', ""'s"", 'no', 'need', 'to', 'run', 'If', 'you', ""'ve"", 'done', 'noth', 'wrong', 'blue', 'light', 'should', 'just', 'pass', 'you', 'by', 'blud', 'when', 'you', 'hear', 'the', 'siren', 'come', 'Do', ""n't"", 'you', 'run', 'when', 'you', 'hear', 'the', 'siren', 'come', 'blud', 'when', 'you', 'hear', 'the', 'siren', 'come', 'Do', ""n't"", 'you', 'run', 'when', 'you', 'hear', 'the', 'siren', 'come', 'what', 'have', 'you', 'done', '?', 'Do', ""n't"", 'you', 'run', 'Do', ""n't"", 'you', 'run', 'Do', ""n't"", 'you', 'run', 'when', 'you', 'hear', 'the', 'siren', 'come']"
